question,options,answer
“If \( \cos 45^\circ = \frac{\sqrt{2}}{2} \)  what is \( \sin 45^\circ \)?”,"A) \(\frac{\sqrt{2}}{2}\),B) \(\frac{\sqrt{3}}{2}\),C) \(\frac{1}{2}\),D) 1",A
“Simplify: \( \frac{4x^2 - 9}{2x^2 - 5x + 3} \)”,"A) \(2 - \frac{1}{2x - 3}\),B) \(2 + \frac{1}{2x - 3}\),C) \(2 - \frac{3}{2x - 1}\),D) \(2 + \frac{3}{2x - 1}\)",B
“The sum of two consecutive odd integers is 56. What are the integers?”,"A) 27 and 29,B) 29 and 31,C) 31 and 33,D) 33 and 35",A
“What is the value of \( \tan 45^\circ \)?”,"A) 1,B) \(\frac{1}{\sqrt{2}}\),C) \(\sqrt{2}\),D) 2",A
“Simplify: \( \frac{x^2 - 5x + 6}{x^2 - 2x - 3} \)”,"A) \(1 + \frac{3}{x + 1}\),B) \(1 - \frac{3}{x + 1}\),C) \(1 + \frac{3}{x - 3}\),D) \(1 - \frac{3}{x - 3}\)",B
“The perimeter of a rectangle is 28 meters and its length is 10 meters. What is its width?”,"A) 4m,B) 6m,C) 8m,D) 12m", A
“Simplify: \( \sqrt{72} \)”,"A) \(6\sqrt{2}\),B) \(6\sqrt{3}\),C) \(12\sqrt{2}\),D) \(12\sqrt{3}\)", A
“If \( \log_{10} (2x + 3) = 2 \). what is the value of \( x \)?”,"A) 48,B) 49,C) 50,D) 51", B
“Simplify: \( \frac{4x^2 - 9}{2x^2 - 5x + 3} \)”,"A) \(2 - \frac{1}{2x - 3}\),B) \(2 + \frac{1}{2x - 3}\),C) \(2 - \frac{3}{2x - 1}\),D) \(2 + \frac{3}{2x - 1}\)", B
“The roots of the equation \( x^2 + 4x + 3 = 0 \) are “,"A) -1 and -3,B) -3 and -1,C) 1 and 3,D) 3 and 1", A
“What is the value of \( \log_{3} 27 \)?”,"A) 1,B) 2,C) 3,D) 4", B
“Simplify: \( \frac{3x^2 - 5x + 2}{x^2 - x - 2} \)”,"A) \(3 + \frac{7}{x + 2}\),B) \(3 - \frac{7}{x + 2}\),C) \(3 + \frac{7}{x - 2}\),D) \(3 - \frac{7}{x - 2}\)", A
“The area of a rectangle is 72 square meters. If its length is 12 meters  what is its width?”,"A) 4m,B) 6m,C) 8m,D) 12m",B
“If \( \tan \theta = \frac{4}{3} \) what is \( \cos \theta \)?”,"A) \(\frac{3}{4}\),B) \(\frac{4}{5}\),C) \(\frac{5}{3}\),D) \(\frac{5}{4}\)", B
“Simplify: \( \frac{3x^2 - 4x + 1}{x^2 - 9} \)”,"A) \(3 - \frac{5}{x - 3}\),B) \(3 + \frac{5}{x - 3}\),C) \(3 - \frac{5}{x + 3}\),D) \(3 + \frac{5}{x + 3}\)", C
“The roots of the equation \( x^2 - 6x + 8 = 0 \) are “,"A) 2 and 4,B) 4 and 2,C) 2 and 3,D) 3 and 2", A
“What is the value of \( \log_{4} 16 \)?”,"A) 1,B) 2,C) 3,D) 4", B
“Simplify: \( \sqrt{75} \)”,"A) \(5\sqrt{3}\),B) \(5\sqrt{5}\),C) \(15\sqrt{3}\),D) \(15\sqrt{5}\)", A
“If \( \sin \theta = \frac{3}{5} \) what is \( \cos \theta \)?”,"A) \(\frac{3}{5}\),B) \(\frac{4}{5}\),C) \(\frac{5}{3}\),D) \(\frac{5}{4}\)", B
“The perimeter of a rectangle is 26 meters and its length is 9 meters. What is its width?”,"A) 4m,B) 5m,C) 6m,D) 7m", B
“Simplify: \( \frac{x^2 - 9}{x^2 - 4x + 3} \)”,"A) \(1 + \frac{5}{x - 1}\),B) \(1 - \frac{5}{x - 1}\),C) \(1 + \frac{5}{x + 1}\),D) \(1 - \frac{5}{x + 1}\)", C
“The roots of the equation \( x^2 - 2x - 8 = 0 \) are “,"A) -2, 4,B) 4, -2,C) 2, -4,D) -4, 2", A
“What is the value of \( \log_{5} 25 \)?”,"A) 1,B) 2,C) 3,D) 4", B
“Simplify: \( \sqrt{108} \)”,"A) \(6\sqrt{3}\),B) \(9\sqrt{3}\),C) \(12\sqrt{3}\),D) \(18\sqrt{3}\)", A
“The area of a rectangle is 120 square meters. If its length is 15 meters. what is its width?”,"A) 5m,B) 6m,C) 8m,D) 12m", A
“Simplify: \( \frac{4x^2 - 9}{2x^2 - 5x + 3} \)”,"A) \(2 - \frac{1}{2x - 3}\),B) \(2 + \frac{1}{2x - 3}\),C) \(2 - \frac{3}{2x - 1}\),D) \(2 + \frac{3}{2x - 1}\)", B
“The roots of the equation \( x^2 - 5x + 6 = 0 \) are” ,"A) 2 and 3,B) 3 and 2,C) 1 and 6,D) 6 and 1", A
“What is the value of \( \log_{6} 36 \)?”,"A) 1,B) 2,C) 3,D) 4", B
“Simplify: \( \frac{3x^2 - 4x + 1}{x^2 - 9} \)”,"A) \(3 - \frac{5}{x - 3}\),B) \(3 + \frac{5}{x - 3}\),C) \(3 - \frac{5}{x + 3}\),D) \(3 + \frac{5}{x + 3}\)", C
“Simplify: \( \frac{5x + 2}{x^2 - 4} \)”,"A) \(\frac{5}{x - 2}\),B) \(\frac{5}{x + 2}\),C) \(\frac{5}{x - 4}\),D) \(\frac{5}{x + 4\)", A
“What is the value of \( \sin 45^\circ \)?”,"A) \(\frac{\sqrt{2}}{2}\),B) \(\frac{\sqrt{3}}{2}\),C) \(\frac{1}{2}\),D) 1", A
“If \( \log_{10} 100 = x \) .what is the value of \( x \)?”,"A) 1,B) 2,C) 3,D) 4", B
“Simplify: \( \sqrt{50} \)”,"A) \(5\sqrt{2}\),B) \(5\sqrt{5}\),C) \(5\sqrt{10}\),D) \(10\sqrt{5}\)", A
“The area of a square is 81 square meters. What is the length of each side of the square?”,"A) 9m,B) 8m,C) 7m,D) 6m", A
“Simplify: \( \frac{2x^2 - 3x + 1}{x^2 - 1} \)”,"A) \(2 - \frac{1}{x - 1}\),B) \(2 + \frac{1}{x - 1}\),C) \(2 - \frac{1}{x + 1}\),D) \(2 + \frac{1}{x + 1}\)", B
“The sum of two consecutive even integers is 50. What are the integers?”,"A) 24 and 26,B) 26 and 28,C) 28 and 30,D) 30 and 32", A
“What is the value of \( \cos 60^\circ \)?”,"A) \(\frac{\sqrt{3}}{2}\),B) \(\frac{1}{2}\),C) \(\frac{1}{\sqrt{2}}\),D) \(\frac{\sqrt{2}}{2}\)", A
“If \( \log_{10} (2x + 1) = 2 \). what is the value of \( x \)?”,"A) 50,B) 99,C) 100,D) 101", B
“Simplify: \( \frac{3x^2 - 2x - 1}{x^2 + 1} \)”,"A) \(3 - \frac{3}{x^2 + 1}\),B) \(3 + \frac{3}{x^2 + 1}\),C) \(3 - \frac{2}{x^2 + 1}\),D) \(3 + \frac{2}{x^2 + 1}\)", B
“The roots of the quadratic equation \( x^2 - 7x + 10 = 0 \) are “,"A) 2 and 5,B) 5 and 2,C) 2 and 3,D) 3 and 2", A
“What is the value of \( \tan 30^\circ \)?”,"A) \(\frac{1}{\sqrt{3}}\),B) \(\frac{\sqrt{3}}{3}\),C) \(\sqrt{3}\),D) \(\frac{1}{\sqrt{3}}\)", B
“Simplify: \( \frac{4x^2 - 1}{2x^2 + x - 1} \)”,"A) \(2 - \frac{1}{2x - 1}\),B) \(2 + \frac{1}{2x - 1}\),C) \(2 - \frac{1}{2x + 1}\),D) \(2 + \frac{1}{2x + 1}\)", B
“If \( \cot \theta = \frac{5}{3} \). what is \( \sin \theta \)?”,"A) \(\frac{3}{5}\),B) \(\frac{4}{5}\),C) \(\frac{5}{3}\),D) \(\frac{5}{4}\)", A
“Simplify: \( \frac{3x^2 + 2x - 1}{x^2 - 3x + 2} \)”,"A) \(3 + \frac{5}{x - 2}\),B) \(3 + \frac{5}{x + 2}\),C) \(3 - \frac{5}{x - 2}\),D) \(3 - \frac{5}{x + 2}\)", C
“If \( 2^{3x} = 16 \) then what is the value of \( x \)?”,"A) 1,B) 2,C) 3,D) 4",: B
“What is the value of \( \log_{2} 32 \)?”,"A) 3,B) 4,C) 5,D) 6",: B
“Simplify: \( \sqrt{98} \)”,"A) \(7\sqrt{2}\),B) \(7\sqrt{7}\),C) \(14\sqrt{7}\),D) \(49\sqrt{2}\)", A
“The sum of three consecutive integers is 24. What are the integers?”,"A) 7;8;9,B) 8;9;10,C) 9;10;11,D) 10;11;12", C
